dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.638165202405540144e-01,1.587436248578005527e-01,1.546794773696570091e-01,1.594955353962070610e-01
1.541610669978451143e-04,1.477096619093734020e-01,1.363412613191378187e-01,1.757039051258029727e-01
1.514423552895564060e-04,8.268098908093547694e-02,1.249103255732901541e-01,1.681241631832080807e-01
1.566386283287842527e-04,7.187458779328485814e-02,1.123017030816948897e-01,1.570275986700397364e-01
1.512085422923546642e-04,6.621273467007723901e-02,1.113600314360765203e-01,1.571744916858704988e-01
1.519714072606080353e-04,6.164169110636737170e-02,1.106326034501203953e-01,1.565362298770986427e-01
1.493064877354258419e-04,5.735629633215173079e-02,1.096914114015515307e-01,1.554607430721850481e-01
1.438589239866692039e-04,5.372439445802611874e-02,1.083169300086923165e-01,1.539421324696765847e-01
1.549387660770310210e-04,5.025941571806111230e-02,1.065914248791161728e-01,1.519557275081210301e-01
1.537447226757970636e-04,4.667853933899138164e-02,1.044540705769989170e-01,1.489022099860355386e-01
1.513708060813074251e-04,4.338819143644154219e-02,1.014397419282154905e-01,1.450577193296423706e-01
1.491754588333186235e-04,4.029827616648136435e-02,9.779797404813214690e-02,1.402554964377293600e-01
1.480102396118296597e-04,3.714799156251336054e-02,9.315761639620107060e-02,1.336762409853703149e-01
1.671574546214665022e-04,3.467491429912248485e-02,8.761569537761106086e-02,1.264373217329950727e-01
1.579362043364284068e-04,3.220410480468640507e-02,8.187691530536850282e-02,1.188062416822946860e-01
1.587307227514980746e-04,3.121723898183763682e-02,7.543242342110774434e-02,1.100711533546875065e-01
1.591353660141881692e-04,2.901846724049721854e-02,6.909934077127463659e-02,1.014137892773122329e-01
1.593718914057094219e-04,2.733201724256707765e-02,6.293475724810250471e-02,9.276008482818182133e-02
1.534622975860325191e-04,2.594204845256839129e-02,5.741801451314278160e-02,8.396978751440874189e-02
1.494085895297538340e-04,2.437571753120004736e-02,5.233481402314531933e-02,7.553927866087521703e-02
1.593559529254674788e-04,2.315995212648045906e-02,4.745288862812917230e-02,6.815620333305867640e-02
1.519823299626813873e-04,2.193372319248435703e-02,4.322851714767893955e-02,6.186299847726533380e-02
1.563318564855292866e-04,2.069615759711511752e-02,3.957277033436305130e-02,5.561340867803356985e-02
1.509725018721047509e-04,1.955648360714272449e-02,3.590508974688338961e-02,5.022187195086871142e-02
1.476345499566960717e-04,1.927116210459482032e-02,3.297194338241032918e-02,4.607755565508585976e-02
1.494919571391581826e-04,1.804981102495958195e-02,3.079726358139933673e-02,4.233110208393159324e-02
1.546192116073502587e-04,1.799679291720778299e-02,2.775261025468037795e-02,3.884128707282474835e-02
1.510146987376607096e-04,1.681453753067339851e-02,2.575085313122373043e-02,3.771301680796636940e-02
1.667716267247949921e-04,1.556048394106289423e-02,2.465523624863395422e-02,3.603402299891648314e-02
1.492643834768717028e-04,1.529979527443785063e-02,2.389337237563895003e-02,3.435849498127745150e-02
1.636023497047845495e-04,1.454405017093491487e-02,2.383083166707911441e-02,3.402398784774227775e-02
1.638394261663244939e-04,1.372566719218121754e-02,2.366826070724916201e-02,3.336869937976307682e-02
1.589549317924363373e-04,1.357304014242389188e-02,2.364703172855774430e-02,3.378485343482846848e-02
1.543377827106617427e-04,1.308193189653330916e-02,2.395081009806130853e-02,3.388160546156142316e-02
1.594265834003881944e-04,1.293954997352311266e-02,2.440282669868133400e-02,3.454221067902096126e-02
1.636622053540600567e-04,1.369676134766063813e-02,2.479542927801780053e-02,3.449675554995078330e-02
1.547938527229255484e-04,1.349587598665700876e-02,2.593144115803225694e-02,3.508062253394505364e-02
1.586540704017150728e-04,1.248606912632407341e-02,2.698644238408756668e-02,3.667372278964510512e-02
1.475437699767794724e-04,1.263406897466509866e-02,2.728729186177856689e-02,3.788240772210789420e-02
1.629445295137520091e-04,1.283096825287308000e-02,2.816426362370442332e-02,3.879733561810600612e-02
1.547900035227964212e-04,1.232278718625059478e-02,2.931381135234778848e-02,4.043403587765637824e-02
1.480980425757264906e-04,1.292236938250228111e-02,2.988377737300110595e-02,4.179912273690808422e-02
1.598163248047642098e-04,1.265098422830555902e-02,3.049772988748066307e-02,4.332389893271176157e-02
1.518013289468713345e-04,1.295070728073915815e-02,3.138221085417058909e-02,4.459803307472377104e-02
1.633370038175876017e-04,1.267908979221134269e-02,3.195670719877467814e-02,4.594390301792907610e-02
1.602760439824265823e-04,1.269889351101203233e-02,3.281598451076635919e-02,4.710875119172669434e-02
1.562871375098355661e-04,1.315361890589340083e-02,3.311955481311581323e-02,4.824690564603579396e-02
1.396213013109841219e-04,1.328658124987108606e-02,3.326180323208385164e-02,4.979486959107999600e-02
1.362631552522792870e-04,1.345127250769097976e-02,3.342512821845813192e-02,5.053001234723020901e-02
1.642065932461751862e-04,1.390180030915861252e-02,3.355564776930372584e-02,5.133794224516131932e-02
1.522944769462131036e-04,1.355425808353500489e-02,3.433607962414320786e-02,5.190446379480091743e-02
1.730538072912589593e-04,1.391689711043772940e-02,3.434291429372242355e-02,5.254665861926102050e-02
1.659947033417128164e-04,1.348642323670232006e-02,3.478119693075911595e-02,5.309096077390204615e-02
1.592494833065615531e-04,1.328674326408250950e-02,3.495358046308529726e-02,5.348173690582818524e-02
1.504605630638570612e-04,1.364529422588381218e-02,3.508514342335742470e-02,5.371465717461215705e-02
1.538070436141326502e-04,1.310664817172077674e-02,3.469930188158076162e-02,5.332566522352037014e-02
1.525932694248768255e-04,1.237847534576238910e-02,3.445965692999124891e-02,5.300037974977615807e-02
1.696215762681852510e-04,1.189303514065858346e-02,3.446419729451253439e-02,5.290261333590864229e-02
1.575800583072917128e-04,1.126564338724419904e-02,3.462823051738989077e-02,5.232866447229707341e-02
