dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.887562515459085266e-01,2.188691710350451902e-01,2.261564335497318057e-01,8.307211410963791232e-02
1.542847537162488395e-04,3.670995655084559606e-01,5.234236994532919657e-02,2.221181727948246809e-01
2.525779966777664458e-04,2.235359660274695848e-01,2.284505985109259729e-01,6.889818746019525930e-01
3.453487805240309746e-04,1.973474820192963886e-01,1.364213845387937107e-01,5.575136480915430237e-01
2.232971955329226307e-04,1.886615569235602641e-01,1.397135041900720298e-01,5.342303168327052765e-01
5.541424980802860079e-05,1.876463424265610025e-01,1.413481437359048742e-01,5.314805911487253676e-01
5.419723068099285178e-05,1.893361501120076618e-01,1.404420685736679775e-01,5.247837001222955822e-01
1.114618248566360881e-04,1.947796053119073001e-01,1.367709957298524626e-01,5.156112166670128172e-01
5.301970185289117552e-05,1.978862493621190155e-01,1.318962343541167648e-01,5.043573253373129228e-01
8.824170921577612450e-05,1.992424367408594521e-01,1.264474805116981848e-01,4.900014126144702775e-01
7.105858472853444116e-05,2.041411327680835441e-01,1.181729591956623415e-01,4.726344429792208590e-01
3.641614989414798187e-05,2.039956476381610539e-01,1.103448198933742047e-01,4.510109211767218684e-01
3.455330247111541435e-05,2.054466744663592526e-01,9.945290643235149552e-02,4.228592412596073880e-01
3.650365759381999156e-04,2.007653643495644069e-01,8.685259293797366331e-02,3.918780623200854851e-01
2.978729385197230071e-04,1.967989073079609574e-01,7.896212535045413206e-02,3.577086143668202212e-01
3.186724783759754842e-04,1.891199671151508610e-01,6.388681648831331938e-02,3.140753687066564770e-01
1.008670335736187607e-04,1.851581576768314974e-01,5.262424920148822682e-02,2.743004716262928411e-01
3.227783096244512054e-04,1.829512426580830742e-01,4.288980218986070819e-02,2.342019268271618160e-01
7.409815045495171421e-05,1.751407900512614302e-01,3.357994408893321542e-02,2.052766356908763690e-01
1.888049711182013604e-04,1.688135178113071566e-01,2.469636023245332102e-02,1.815342471799495927e-01
6.756877244521773489e-05,1.601928909499184817e-01,1.944596921892919814e-02,1.480521293782320058e-01
7.697192618597015461e-05,1.431726160947220383e-01,1.577010510977770036e-02,1.272208917760577485e-01
2.099418709054777813e-04,1.225584311905202339e-01,1.229628670737497806e-02,1.125026643745282856e-01
2.532120601634494186e-04,1.102898207826036314e-01,8.882283359635690517e-03,9.836430133537707454e-02
1.062749440783743068e-04,8.973874704850805240e-02,4.629313713307781249e-03,8.618533504434053305e-02
2.291186529796816079e-04,7.501015495861679261e-02,9.055287023684601561e-03,8.691515406542439648e-02
8.340282241909708326e-05,6.257091880842455267e-02,8.934561415394838904e-03,8.054378491578995103e-02
1.563011037192037645e-04,4.775404937413532669e-02,1.246456963466586673e-02,6.797121626308566533e-02
1.787075961118395593e-04,2.565599103713910034e-02,2.085652407059343516e-02,6.954825876045152289e-02
1.290671726073947293e-04,2.195370212941895674e-02,2.500756895881458414e-02,7.457004349961691980e-02
7.033262534366385862e-05,1.567262936182630198e-02,3.232899406453095675e-02,8.187889780690843500e-02
2.402874121811637918e-04,1.255360319765703829e-02,3.778168778905047209e-02,7.804924670168679468e-02
1.621994309772482163e-04,1.221844216998526321e-02,4.205805439395067513e-02,7.752086772127371461e-02
1.491512662959210871e-04,1.060672865585162751e-02,4.727675563439203560e-02,8.122527915222862993e-02
