F_chief,F_deputy1,F_deputy2,F_deputy3
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0473932190054744e-06 8.591864234255715e-08 -6.309132444592023e-07 -2.2442760635810597e-11 4.1874087913509607e-13 -2.0450598752690022e-12 8.59184449832324e-08 -1.1055345250871023e-06 -4.5257802879061694e-07 4.1874087913509607e-13 -1.1434933271941576e-11 7.768240929144207e-14 -6.309118263448729e-07 -4.525780460566093e-07 2.152927744093997e-06 -2.0450598752690022e-12 7.768240929144207e-14 -1.1798415027482651e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1722669436680153e-06 -8.534206568618321e-08 1.602286764375812e-08 -1.1866877679644667e-11 4.093424998908837e-13 2.1710765864769142e-12 -8.534233741833651e-08 2.2298595401713385e-06 -6.391467256721585e-07 4.093424998908837e-13 -1.179907453403166e-11 -1.9987020136775917e-12 1.602295366015431e-08 -6.39148131357873e-07 -1.0575926056997619e-06 2.1710765864769142e-12 -1.9987020136775917e-12 -2.2022976382542235e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.2746925640414884e-07 -4.943004618588656e-07 1.6217991376032704e-06 -1.6643877366146718e-11 3.6225113150382546e-12 4.627203773084122e-12 -4.943007008473756e-07 -9.816110796936938e-07 -6.178923090374434e-07 3.6225113150382546e-12 -1.526419543381915e-11 -3.8291913474423734e-12 1.6217979086235237e-06 -6.178915440742216e-07 8.541418232475177e-07 4.627203773084122e-12 -3.8291913474423734e-12 -1.715763210896116e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.180054790579039e-07 6.307544093940002e-07 8.459071036607817e-07 -1.1672716775409251e-11 -1.2272610679559948e-12 1.0137020353972103e-12 6.307541761934812e-07 -4.045824160276129e-08 1.5150666305481374e-06 -1.2272610679559948e-12 -1.811719293183721e-11 5.509565841136435e-12 8.459075443119588e-07 1.5150679778137648e-06 8.584637206521472e-07 1.0137020353972103e-12 5.509565841136435e-12 -1.5997744997317796e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.516997461913352e-07 1.1365726008927861e-07 -8.345953717643518e-07 -2.2116088115602178e-11 5.528800783452563e-13 -2.700888996150553e-12 1.1365706022955878e-07 -1.1074656612972108e-06 -4.398393538748287e-07 5.528800783452563e-13 -1.1441667598582522e-11 1.3951886832574932e-13 -8.34593954693459e-07 -4.39839376661858e-07 2.059165407718418e-06 -2.700888996150553e-12 1.3951886832574932e-13 -1.2094674956912746e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.174788648793622e-06 -5.4486870772120276e-08 1.3929726318731522e-08 -1.2462998929762638e-11 5.807042619691921e-13 2.2497405333655477e-12 -5.448715346593339e-08 2.1371459382719148e-06 -8.469347553644986e-07 5.807042619691921e-13 -1.27146107547205e-11 -2.7893224724024807e-12 1.3929822532150617e-08 -8.469362321228201e-07 -9.623572992368894e-07 2.2497405333655477e-12 -2.7893224724024807e-12 -2.2800907540809797e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 2.994497916156236e-07 -5.927706155500489e-07 1.6291203046995761e-06 -1.6047471487703692e-11 3.274898260849515e-12 4.621265843373601e-12 -5.927708607413042e-07 -9.313896912359281e-07 -6.569847791511239e-07 3.274898260849515e-12 -1.510774459520153e-11 -4.005555113120619e-12 1.629119076396723e-06 -6.569840138115081e-07 6.319398996614211e-07 4.621265843373601e-12 -4.005555113120619e-12 -1.79214832598273e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.447368664081278e-07 5.524433967934423e-07 8.546859764458141e-07 -1.1748989190426759e-11 -1.4947541393360278e-12 1.08794079643688e-12 5.524431696588676e-07 -2.3044043858549185e-07 1.453091705660078e-06 -1.4947541393360278e-12 -1.872106677606688e-11 5.297961566569847e-12 8.546864184978688e-07 1.4530930525059653e-06 1.075177305081274e-06 1.08794079643688e-12 5.297961566569847e-12 -1.5298104792246584e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.302245288909535e-07 1.395152404240479e-07 -1.0244518841155464e-06 -2.3418945488638413e-11 7.310447478720959e-13 -3.5718205157816217e-12 1.395150316223125e-07 -1.1098856203214667e-06 -4.2366412378284606e-07 7.310447478720959e-13 -1.2355713176290626e-11 2.3499983247317274e-13 -1.0244504280829087e-06 -4.236641524925968e-07 1.940110149678524e-06 -3.5718205157816217e-12 2.3499983247317274e-13 -1.3455804313458244e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1767373365594104e-06 -2.406197996882194e-08 7.840920420944294e-09 -1.3089804624926822e-11 7.63266923921266e-13 2.311845681365996e-12 -2.4062273382177357e-08 2.017638498202703e-06 -1.0409894120462594e-06 7.63266923921266e-13 -1.3790768634763111e-11 -3.6054945781939314e-12 7.841027257586337e-09 -1.0409909641562044e-06 -8.40901171953714e-07 2.311845681365996e-12 -3.6054945781939314e-12 -2.3521016067621493e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 4.6925648150603247e-07 -6.939885599512645e-07 1.6109300276640258e-06 -1.5459715429034606e-11 2.9138366680566715e-12 4.525566190427515e-12 -6.93988811282676e-07 -8.77297584291769e-07 -6.81608141991552e-07 2.9138366680566715e-12 -1.492660032795188e-11 -4.130464569225474e-12 1.6109288001161924e-06 -6.816073772825851e-07 4.080411029016665e-07 4.525566190427515e-12 -4.130464569225474e-12 -1.8682301364745017e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -8.729627826941127e-07 4.742801628476184e-07 8.527986567756544e-07 -1.1828567911474053e-11 -1.7656670005440839e-12 1.1254314811141718e-12 4.742799416521784e-07 -4.097999525512682e-07 1.3654342645751293e-06 -1.7656670005440839e-12 -1.9277413401380374e-11 5.0011360928109285e-12 8.527991006994547e-07 1.3654356100105283e-06 1.2827627354362654e-06 1.1254314811141718e-12 5.0011360928109285e-12 -1.4618941680496038e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -6.849506805133287e-07 1.6305990879019642e-07 -1.1972988198104742e-06 -2.2843229772786186e-11 8.512515703784907e-13 -4.15959257970793e-12 1.6305969652615245e-07 -1.1127548434077212e-06 -4.043159471847666e-07 8.512515703784907e-13 -1.2343012497651983e-11 3.3503011339891637e-13 -1.1972973682053135e-06 -4.043159806101595e-07 1.7977055246083095e-06 -4.15959257970793e-12 3.3503011339891637e-13 -1.3911554985374335e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1780952574339242e-06 5.404748847781363e-09 -2.157195670227796e-09 -1.3745799228554298e-11 9.547148762550118e-13 2.3548428594219763e-12 5.4044450533977465e-09 1.8733086489904972e-06 -1.21791000544457e-06 9.547148762550118e-13 -1.5035915000174035e-11 -4.433025682050773e-12 -2.15707790923892e-09 -1.2179116370926648e-06 -6.952134023999653e-07 2.3548428594219763e-12 -4.433025682050773e-12 -2.4172887617126424e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 6.340048928019268e-07 -7.962482223758128e-07 1.5674556226074969e-06 -1.4891696224016352e-11 2.545922789618323e-12 4.342051218022e-12 -7.962484796832567e-07 -8.202403510100623e-07 -6.912996617520189e-07 2.545922789618323e-12 -1.472455850873579e-11 -4.201863740134755e-12 1.5674543958355032e-06 -6.912988986423395e-07 1.862354583901752e-07 4.342051218022e-12 -4.201863740134755e-12 -1.9427078825219485e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.022048877995682e-07 3.975724410419856e-07 8.403101024134894e-07 -1.1909389857297745e-11 -2.034915474280203e-12 1.1255230605248452e-12 3.975722255611221e-07 -5.755651939278243e-07 1.2536419464008866e-06 -2.034915474280203e-12 -1.9775147749206395e-11 4.624525677284587e-12 8.403105486212421e-07 1.2536432893961928e-06 1.4777700820275637e-06 1.1255230605248452e-12 4.624525677284587e-12 -1.3971980347431317e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -5.182603815467415e-07 1.8389518099789358e-07 -1.3502217738314246e-06 -2.217264271197657e-11 9.554869723360956e-13 -4.669297409445755e-12 1.8389496493951486e-07 -1.1160259460784957e-06 -3.8211147335756063e-07 9.554869723360956e-13 -1.2320269297555956e-11 4.4864958322132127e-13 -1.3502203282485754e-06 -3.821115108715001e-07 1.6342863285229642e-06 -4.669297409445755e-12 4.4864958322132127e-13 -1.4420933201811735e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.178854893524689e-06 3.33997944907143e-08 -1.5909101488928027e-08 -1.4428944529321372e-11 1.1521526763225407e-12 2.3763335805060355e-12 3.339948074705528e-08 1.7065740552367998e-06 -1.374581327319235e-06 1.1521526763225407e-12 -1.6455930695116064e-11 -5.2552325457935215e-12 -1.5908972651985626e-08 -1.3745830425308868e-06 -5.277191730599396e-07 2.3763335805060355e-12 -5.2552325457935215e-12 -2.474696154809697e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 7.908793938986361e-07 -8.978153044358508e-07 1.499357962599572e-06 -1.4353945493934342e-11 2.177802991664108e-12 4.074282076742598e-12 -8.978155674564066e-07 -7.611796303666909e-07 -6.858490085928828e-07 2.177802991664108e-12 -1.4505699155739476e-11 -4.2187062584140745e-12 1.4993567365731166e-06 -6.85848247998541e-07 -2.969976329266076e-08 4.074282076742598e-12 -4.2187062584140745e-12 -2.0143147037472957e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.319707680701356e-07 3.2359595541887135e-07 8.174608719056907e-07 -1.2950909239119959e-11 -2.4816819020610904e-12 1.1755999212097961e-12 3.23595739148458e-07 -7.250078277438821e-07 1.1196540186422186e-06 -2.4816819020610904e-12 -2.1824715598112652e-11 4.510053655763941e-12 8.174613339949258e-07 1.119655397700236e-06 1.656978596240587e-06 1.1755999212097961e-12 4.510053655763941e-12 -1.4440490753684566e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -3.3289951516802684e-07 2.0166819772012926e-07 -1.4806247900054282e-06 -2.1420891140995048e-11 1.0418357642345779e-12 -5.091563245943079e-12 2.0166797762113926e-07 -1.1196444310816046e-06 -3.5741570942946315e-07 1.0418357642345779e-12 -1.2287661725759346e-11 5.73432282843759e-13 -1.4806233519477839e-06 -3.5741575032919006e-07 1.4525439473450149e-06 -5.091563245943079e-12 5.73432282843759e-13 -1.4972751139592602e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.179019076989884e-06 5.9433401137245065e-08 -3.319258110670226e-08 -1.5136614337562087e-11 1.3520961921665135e-12 2.374184643055819e-12 5.9433077962431374e-08 1.5202567603829691e-06 -1.5082318702428285e-06 1.3520961921665135e-12 -1.8053495004237423e-11 -6.053058640711257e-12 -3.3192441215568484e-08 -1.5082336728045644e-06 -3.4123769520604776e-07 2.374184643055819e-12 -6.053058640711257e-12 -2.5235023100881914e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 9.371830534668212e-07 -9.969571810055433e-07 1.4077250173645694e-06 -1.3856246820771724e-11 1.816043928164134e-12 3.727329053063357e-12 -9.969574493820558e-07 -7.011169937435432e-07 -6.653048631932959e-07 1.816043928164134e-12 -1.4274299259673338e-11 -4.180952238995947e-12 1.4077237920094364e-06 -6.653041059649721e-07 -2.3606605943558404e-07 3.727329053063357e-12 -4.180952238995947e-12 -2.0818410951015666e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.617621010709743e-07 2.5357403351037825e-07 7.846612362261632e-07 -1.3035364297849392e-11 -2.7528965301476877e-12 1.0961514030750156e-12 2.53573822360362e-07 -8.556843747140145e-07 9.657654998565532e-07 -2.7528965301476877e-12 -2.2207116066426554e-11 3.955764395526041e-12 7.84661701345256e-07 9.657668743788237e-07 1.8174464763327994e-06 1.0961514030750156e-12 3.955764395526041e-12 -1.384764101202139e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.3193600366676362e-07 2.160754320661902e-07 -1.5862753520349269e-06 -2.0603030487191606e-11 1.1088124589842734e-12 -5.419119160925584e-12 2.1607520777294093e-07 -1.123549526123655e-06 -3.3063649814695445e-07 1.1088124589842734e-12 -1.2245439151562674e-11 7.067334367609832e-13 -1.5862739228985425e-06 -3.306365416708489e-07 1.2554855310688176e-06 -5.419119160925584e-12 7.067334367609832e-13 -1.555486466926631e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1786009095020024e-06 8.304857872314432e-08 -5.3722491499816325e-08 -1.5865558768373238e-11 1.5504899661151112e-12 2.3466545895882144e-12 8.304824671076584e-08 1.3175333656573546e-06 -1.6164855929193329e-06 1.5504899661151112e-12 -1.9827352882601724e-11 -6.805332024643554e-12 -5.3722340771658634e-08 -1.616487486292565e-06 -1.3893246838241816e-07 2.3466545895882144e-12 -6.805332024643554e-12 -2.5630727167746676e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0703864670405903e-06 -1.0919734244718272e-06 1.2940574438246822e-06 -1.3407467474348178e-11 1.4670105004286873e-12 3.3076401680904294e-12 -1.0919736977591207e-06 -6.410767463771203e-07 -6.299769339123016e-07 1.4670105004286873e-12 -1.4034745717162347e-11 -4.089544731250669e-12 1.2940562190307762e-06 -6.299761808241304e-07 -4.2930972033598214e-07 3.3076401680904294e-12 -4.089544731250669e-12 -2.144156081784976e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -9.91082753127408e-07 1.8865845717453843e-07 7.424826905591262e-07 -1.3114459301721204e-11 -3.006473049003937e-12 9.790416298578903e-13 1.8865825064805493e-07 -9.654725788839396e-07 7.945862061100128e-07 -3.006473049003937e-12 -2.2498681642917838e-11 3.3426742613051036e-12 7.424831589048728e-07 7.945875750415949e-07 1.9565553326825826e-06 9.790416298578903e-13 3.3426742613051036e-12 -1.3322411954625089e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 8.128773124658479e-08 2.2686812623008628e-07 -1.6653444137120394e-06 -1.9735051494424025e-11 1.1553863152053013e-12 -5.646918125538402e-12 2.268678976857935e-07 -1.1276751366596394e-06 -3.022182156832829e-07 1.1553863152053013e-12 -1.2193919509640323e-11 8.457635897522078e-13 -1.6653429947737105e-06 -3.0221826102868335e-07 1.0463874068583265e-06 -5.646918125538402e-12 8.457635897522078e-13 -1.6154518016859683e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1776234846685851e-06 1.03829484300229e-07 -7.715574493641437e-08 -1.66118811260785e-11 1.7427559317865967e-12 2.2925270625533185e-12 1.0382914410429821e-07 1.1018783262446878e-06 -1.6974061435714067e-06 1.7427559317865967e-12 -2.1771603119065238e-11 -7.489181527975995e-12 -7.715558380263012e-08 -1.6974081307988799e-06 7.574514584624555e-08 2.2925270625533185e-12 -7.489181527975995e-12 -2.593012742924538e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.1881744746158877e-06 -1.1812263579010042e-06 1.1602462062693563e-06 -1.3015416229808771e-11 1.1367537524395632e-12 2.8228893692767676e-12 -1.1812266355735556e-06 -5.82087952057266e-07 -5.804331637438541e-07 1.1367537524395632e-12 -1.3791450405432617e-11 -3.9463681391862675e-12 1.1602449818993647e-06 -5.804324154839941e-07 -6.060865221995569e-07 2.8228893692767676e-12 -3.9463681391862675e-12 -2.2002258257245157e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.019446647438208e-06 1.2991184235963408e-07 6.916472666844757e-07 -1.3185877653418683e-11 -3.2376628954022174e-12 8.267267278072203e-13 1.2991163989327363e-07 -1.0526019785024558e-06 6.089961748186316e-07 -3.2376628954022174e-12 -2.2693301042037093e-11 2.6824824972121226e-12 6.916477383592931e-07 6.089975371236884e-07 2.072048626735905e-06 8.267267278072203e-13 2.6824824972121226e-12 -1.2873010514943366e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 3.0320770652130544e-07 2.338569496265593e-07 -1.7164406756283378e-06 -1.8833458998214923e-11 1.1809915265559583e-12 -5.7721874762882635e-12 2.338567168728676e-07 -1.1319509035344103e-06 -2.726347514077305e-07 1.1809915265559583e-12 -1.2133485567297219e-11 9.876637696526477e-13 -1.7164392680358218e-06 -2.7263479774919335e-07 8.287431986079438e-07 -5.7721874762882635e-12 9.876637696526477e-13 -1.6758692327014827e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.1761194201684473e-06 1.214090117952852e-07 -1.0309739273671247e-07 -1.7371030353300405e-11 1.9238776170022996e-12 2.2112443629530606e-12 1.2140866411117485e-07 8.770016014641296e-07 -1.7495326559738032e-06 1.9238776170022996e-12 -2.3875053738421347e-11 -8.080621857406793e-12 -1.0309722185703239e-07 -1.7495347395804137e-06 2.9911780585257797e-07 2.2112443629530606e-12 -8.080621857406793e-12 -2.613217784151497e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.288489719101084e-06 -1.2631710018409756e-06 1.008542404640126e-06 -1.2686727926829304e-11 8.309102084130677e-13 2.2818095548641137e-12 -1.2631712833018355e-06 -5.251660278257569e-07 -5.174920112428625e-07 8.309102084130677e-13 -1.3548769085260434e-11 -3.754191234396759e-12 1.00854118053861e-06 -5.174912684059048e-07 -7.633236908923506e-07 2.2818095548641137e-12 -3.754191234396759e-12 -2.2491295064219155e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.0463853417104302e-06 7.829166994169452e-08 6.330147718256296e-07 -1.3247412217323744e-11 -3.44218304656033e-12 6.423664956504198e-13 7.82914709182087e-08 -1.1156787224790313e-06 4.120977660647254e-07 -3.44218304656033e-12 -2.2786772890698068e-11 1.987782911422356e-12 6.330152468339252e-07 4.1209912074148425e-07 2.162064065107622e-06 6.423664956504198e-13 1.987782911422356e-12 -1.2505997879862468e-11
0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 5.300960832536125e-07 2.3691576796533836e-07 -1.7386382952101869e-06 -1.7914858558336227e-11 1.1855231455779803e-12 -5.794409606235331e-12 2.3691553114129105e-07 -1.1363033522779872e-06 -2.423818526231605e-07 1.1855231455779803e-12 -1.2064580144965225e-11 1.1295788148960385e-12 -1.7386368999751336e-06 -2.4238189913059907e-07 6.062072707506584e-07 -5.794409606235331e-12 1.1295788148960385e-12 -1.735444475815294e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.174130210888208e-06 1.354754405840127e-07 -1.3110767326925117e-07 -1.813781176763925e-11 2.0885223433141982e-12 2.103032913804174e-12 1.354750861258061e-07 6.467820077095736e-07 -1.7719064568399275e-06 2.0885223433141982e-12 -2.6120697385345657e-11 -8.555308307046828e-12 -1.311074935395826e-07 -1.7719086387302018e-06 5.273481901424481e-07 2.103032913804174e-12 -8.555308307046828e-12 -2.6239167866525593e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.369572017231063e-06 -1.3363837591025607e-06 8.415196996962906e-07 -1.242677450806921e-11 5.546135549676305e-13 1.6940152771197917e-12 -1.3363840436933088e-06 -4.71294286162037e-07 -4.4220980954043157e-07 5.546135549676305e-13 -1.3310925446024777e-11 -3.5165974389107213e-12 8.415184756990175e-07 -4.422090726216926e-07 -8.982777306691104e-07 1.6940152771197917e-12 -3.5165974389107213e-12 -2.2900724337347842e-11,0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 -1.071455216025218e-06 3.46361281309621e-08 5.675682460984516e-07 -1.3297019334424034e-11 -3.6163127359279008e-12 4.2974985847831323e-13 3.4635931893049926e-08 -1.1537044578155483e-06 2.0716537179752153e-07 -3.6163127359279008e-12 -2.2776900842233182e-11 1.2717740609540482e-12 5.675687243453764e-07 2.0716671789283686e-07 2.225159674879057e-06 4.2974985847831323e-13 1.2717740609540482e-12 -1.2226150920960432e-11
