STM_chief,STM_deputy1,STM_deputy2,STM_deputy3
1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
0.9981689440184617 0.00017162132558523916 -0.00126023723434065 59.96389665755853 0.0035999044414032383 -0.026434562090367805 0.00017159195417626688 0.9980097288244613 -0.0008078125486213507 0.003599897172057349 59.96016819862188 -0.016079470511386355 -0.0012600218057061722 -0.0008078125732682534 1.0038257420070196 -0.026434510181614707 -0.016079471246293765 60.075935059385735 -6.0050245943434654e-05 6.000728027810895e-06 -4.4064000220170674e-05 0.9982263654315117 0.00018826716909341447 -0.0013824659000984223 5.9987857059615935e-06 -6.633588486119012e-05 -2.6809018524841085e-05 0.00018823790937385674 0.9980085691436215 -0.0008001666753110318 -4.404975175940303e-05 -2.680901892767657e-05 0.0001266800218272538 -0.001382251294089665 -0.0008001666992609487 1.0037694644917066,0.9978890681705004 -0.00013511025097427947 2.8192741644349202e-05 59.957750404145926 -0.0025160856512214825 0.0005572206819500532 -0.00013513837997781558 1.0039651546094288 -0.00127728425513568 -0.002516095796222758 60.07873020006188 -0.026803970532209963 2.8203545352918668e-05 -0.0012775046304983068 0.9981502599634884 0.0005572240139411857 -0.026804023251192535 59.96351930959962 -7.03647280651e-05 -4.196082744360702e-06 9.189894025862254e-07 0.9978875544395314 -0.00011659364535729156 2.6937165383009282e-05 -4.197938799117286e-06 0.0001313404109177127 -4.466647910423221e-05 -0.00011662170248699813 1.0039095092446915 -0.0014019783521195363 9.197032610860413e-07 -4.468106389996061e-05 -6.067714949466533e-05 2.6947943162560826e-05 -0.0014021981426388963 0.9982074066716872,1.000334348195483 -0.0009486093121090578 0.002928578842439823 60.007688315255706 -0.01955147381391634 0.05863135142464017 -0.0009486389938347553 0.9982634584022888 -0.001138242689051157 -0.019551482422305415 59.96554671746648 -0.023011669725195184 0.0029283906625164405 -0.0011381339312066495 1.0014066344463781 0.058631307733485294 -0.023011642511750096 60.02676488110994 1.2918750836126523e-05 -3.2616084124352755e-05 9.772981786970641e-05 1.0004375488834945 -0.0010076992496536052 0.0029329690298793634 -3.2618045224140756e-05 -5.735331041081129e-05 -3.8347644077091415e-05 -0.0010077288331170483 0.9982935946194237 -0.0011617014684232765 9.771736666557857e-05 -3.834045126743297e-05 4.4730238504966957e-05 0.0029327814801419177 -0.0011615930757845926 1.001273282948723,0.9985127654452159 0.0010888420195764256 0.0015299987848570503 59.97007826468425 0.02129963809915555 0.03065863917597371 0.0010888123525934906 0.9998132284046349 0.0026947290798360625 0.021299629673081105 59.99508235860126 0.053545204672253606 0.001530073052095967 0.0026949332938538072 1.001678446708567 0.030658655331941287 0.05354525399346684 60.03483929207563 -4.981009758044185e-05 3.552438766853508e-05 5.11044078279977e-05 0.9984967215895948 0.001041844555924453 0.0015352647093707888 3.552242874281247e-05 -8.079599521855352e-06 8.923233238746254e-05 0.0010418150361708118 0.9996992124103894 0.0026575348548912867 5.110931988996898e-05 8.924583121095355e-05 5.8185192373456215e-05 0.0015353386073233802 0.0026577380578197804 1.001808487478925
0.9929314484790245 0.000753161989961413 -0.005530522120880009 119.72691928402678 0.03271602324483192 -0.24023566073188724 0.0007524087400576978 0.9920432597876438 -0.00320189425449818 0.032700920040744354 119.68131485143391 -0.1266802494491722 -0.005524995614730649 -0.003201893982862832 1.0150956432404652 -0.24012485651970572 -0.126680246820882 120.59334992025587 -0.0001132301676296772 1.3654932773736433e-05 -0.00010026820261581191 0.9934536137419137 0.0008820355175556174 -0.006476789286880419 1.3624101350120769e-05 -0.0001324934832051669 -5.285880641268928e-05 0.0008812823598743133 0.992032798615424 -0.003132370011120424 -0.00010004198530076189 -5.285878998271901e-05 0.0002480632854925497 -0.006471263363901425 -0.0031323696896123432 1.014583919205765,0.9915595160685481 -0.0004666893445224975 0.00010535042815259962 119.66194490441971 -0.015708834497126643 0.0039044665052254835 -0.0004674081682391009 1.0156559223095154 -0.0056040663924440525 -0.01572326687578292 120.61579811367065 -0.24368431328016332 0.00010562712680254525 -0.005609726738703483 0.9928560540012007 0.0039100201334711406 -0.24379784984881106 119.72386733494136 -0.0001405652739870182 -6.5504813913021715e-06 1.5915506781042274e-06 0.9915487847144119 -0.0003193332798370979 8.568293608806286e-05 -6.57989878455463e-06 0.00025743580192948953 -0.00010152808240716732 -0.0003200525947306255 1.0151456550368296 -0.00657035498872417 1.6028764985130648e-06 -0.0001017598554296296 -0.00011449220993351702 8.59598199920978e-05 -0.006576018992596704 0.9933770826002409,1.0017691269281845 -0.004036741272821403 0.011730954263606465 120.08678342553381 -0.1709194798661017 0.46891581719928055 -0.004037501390282933 0.9931874436416432 -0.004644352746263789 -0.1709347289042727 119.73218462700002 -0.1889983702843432 0.011726122846914067 -0.0046415626803718675 1.0051142193508742 0.4688189371907896 -0.18894241596029754 120.18262609300764 3.677587707764877e-05 -7.136917380536974e-05 0.00019563102150219126 1.0025909704906926 -0.004516894522809471 0.011704840795713078 -7.140028399344425e-05 -0.00011121621284328396 -7.882779885111243e-05 -0.00451765478354964 0.9934382697185433 -0.0047975743461065555 0.0001954332189319889 -7.871358151153046e-05 7.679480852491616e-05 0.011700008284051051 -0.004794783677272911 1.0040415475724622,0.9939972646730567 0.004171827127725748 0.006140317624824121 119.75701462074163 0.15923997300736695 0.2460363072226345 0.004171068427678024 0.9988188418668014 0.010623405721828608 0.15922476277211864 119.93439675513747 0.41807406852763024 0.006142222097217357 0.01062863736599404 1.007254599172069 0.246074467983955 0.4181789175559004 120.31018016173184 -0.00010089589700148534 6.649595768655271e-05 0.00010259676236100392 0.9938651055942124 0.00379557333623831 0.0061568729388422755 6.646492063718832e-05 -2.673570896385162e-05 0.00017423958751525457 0.0037948153493122866 0.9979307360381683 0.010263579520362245 0.00010267469103432666 0.00017445363888123538 0.00012998224506036689 0.0061587755232816385 0.010268806072509962 1.00827479911183
0.9847561090131146 0.00184229257392816 -0.013527911392647633 179.13890790473155 0.12315918879264257 -0.9043517113116484 0.001836667325813897 0.9821196442504432 -0.0071336758909655565 0.12298920168974543 178.9245466195916 -0.4201282487861936 -0.013486636351912114 -0.007133672366896557 1.033478433593364 -0.9031044369206459 -0.42012814481365557 181.94917415696918 -0.00015767609742793832 2.2912853683732808e-05 -0.0001682450377144098 0.9867217817740652 0.00226068577430558 -0.016599834370524397 2.275745898670459e-05 -0.00019819452719802838 -7.804906278105227e-05 0.002255059079134134 0.9820805032410963 -0.0068719330687889895 -0.00016710479478272523 -7.804894852902194e-05 0.0003637023214834153 -0.016558546752447716 -0.006871928864543544 1.0315519518601375,0.9810311692631702 -0.0008844383883131999 0.0002093422182628104 178.85936312983577 -0.03822890386191639 0.010200981018994673 -0.0008898074832440493 1.034742471294186 -0.013687293149251342 -0.03839128750375553 182.02485669573673 -0.9171615170960611 0.000211409242889553 -0.013729598343370612 0.9845864878307068 0.010263488275094771 -0.918440604466527 179.12862754756836 -0.00021026925366086747 -7.068725877240279e-06 1.7725107449571487e-06 0.9809997049664707 -0.00039219794258474637 0.00011077639038839602 -7.217086955189679e-06 0.00037778326731056526 -0.00016971288433129578 -0.00039757395147392945 1.0328088729954024 -0.016826742829587932 1.8296266190485635e-06 -0.0001708820507571956 -0.00015954792843029403 0.0001128458353234881 -0.016869100315396887 0.986551940093294,1.0049765581112962 -0.009641050893936014 0.02638958332920157 180.3781861939693 -0.6266155178076512 1.5757541042434224 -0.009646727710886477 0.9849989486793443 -0.010628749342652052 -0.6267871199538162 179.12390558156287 -0.6507045821298281 0.02635348566069933 -0.010607905904356486 1.0103809543257303 1.5746630416105107 -0.6500745601961432 180.51062046826874 7.20819623091721e-05 -0.00011652527763393276 0.0002927993077291147 1.0077240282521789 -0.011278766447490108 0.02609505020163841 -0.00011668211256375399 -0.00016100943234196568 -0.0001208675874297343 -0.011284446939615916 0.9858742256687024 -0.011027026784554384 0.0002918018906877332 -0.00012029168022867785 9.681043887355287e-05 0.02605892595353 -0.011006168268743597 1.0067583759217833,0.9863853611434771 0.008980704195694824 0.0138390947208213 179.16776416668225 0.5000706486604033 0.8301648903711173 0.008975044473214684 0.9964160968119982 0.02349078617163124 0.49989969926648187 179.6936214995064 1.3694237780271161 0.013853305111183154 0.02352981858087585 1.0175542891780243 0.8305940279975308 1.3706025937455633 181.15129315480843 -0.0001529762334579395 9.308671497975508e-05 0.00015396211604672908 0.9859286161452557 0.0077159717726317 0.013808646006340849 9.293045942432238e-05 -5.4831518799782645e-05 0.00025361178162921697 0.007710316660184338 0.9935138163478692 0.02207268987580987 0.00015435445064030043 0.0002546894094294067 0.0002156702691449626 0.013822843266265743 0.022111687460548975 1.0209130468199383
0.9742201832695133 0.003533964092023195 -0.02594934110345113 238.12030900697823 0.3208713707262077 -2.3560937191635385 0.0035104106311790767 0.9682745776824245 -0.01254858309986191 0.3199241677242569 237.45184715915002 -0.9764339250788635 -0.025776509375626266 -0.012548564770714421 1.0586160406905036 -2.3491430905398394 -0.9764331434612767 244.48123282233993 -0.00019163559245492822 3.3733496369614665e-05 -0.0002476906587567901 0.9793394309980017 0.0044819651712592725 -0.032909238523294825 3.3245143204570975e-05 -0.00026316273327044843 -0.00010227950032285425 0.004458401484110856 0.9681731602530937 -0.01186686174281893 -0.00024410705489648495 -0.00010227906806120243 0.00047314792912095545 -0.03273631841308469 -0.011866839511697582 1.0535985759846473,0.9663437567231697 -0.0012781675139920518 0.0003033192884425643 237.29847465491346 -0.05603782791789233 0.014403010915496605 -0.001300660659086061 1.0608648596608532 -0.02617332061558491 -0.056943153401899864 244.65955792807844 -2.3872336735471724 0.00031197814725941183 -0.02635057456340961 0.9739213377052135 0.014751482204876525 -2.3943668408337366 238.0963151006076 -0.00027914595324065694 -5.748849098305358e-06 1.2173234316346392e-06 0.966280635833022 -0.00012901712962438912 -5.507708160512872e-06 -6.21543263473121e-06 0.0004918787875641188 -0.00024807516280218357 -0.00015154872353706847 1.055802601132324 -0.03329080342871741 1.3969215947249805e-06 -0.00025175214046010996 -0.00019405893011961223 3.164332717126093e-06 -0.033468347295832264 0.9790484248498695,1.0106556638112472 -0.018151304926221554 0.04683685220599467 241.0980503076613 -1.6046758455146863 3.7038418473558976 -0.018175078791768096 0.9739584805159586 -0.01916959252034029 -1.6056322230050692 237.99267001290178 -1.5637773083645383 0.04668565387713017 -0.01908229107594853 1.0165039516626906 3.6977594448817297 -1.5602653088365375 240.96303294901827 0.00011921611737571583 -0.00016825347760934955 0.0003884698973404385 1.0170753882956378 -0.022055787622178396 0.04565304880693513 -0.00016874647754421812 -0.00020619676942149374 -0.00016396521161163977 -0.02207958298838458 0.9760915394559425 -0.019827703617146458 0.00038533416262987396 -0.00016215468324235852 0.00010545307202280335 0.04550169422709306 -0.01974031319381881 1.0079519880420562,0.975625920142695 0.015258896183112597 0.02460173915317849 237.99903221608602 1.0981253812142588 1.9604651986231225 0.015235220321673371 0.9920737121528554 0.04091382801336283 1.0971738873822459 239.08292274030373 3.131076171090049 0.02466118289356395 0.041077104593622765 1.0334153774361798 1.9628538338252577 3.1376374335157777 242.97160565722817 -0.00020576628038808636 0.00011551210877719671 0.00020462495166416442 0.9745229729841435 0.0122869359762398 0.02432615028372553 0.0001150215735575498 -9.119323832934075e-05 0.00032583511431745477 0.012263282791560769 0.9854503892726909 0.037087218742278556 0.0002058564905461369 0.0003292178644359924 0.0003153672810230694 0.024385527662260334 0.03725032079219573 1.0411407000038084
0.9620018579575853 0.005920910659929896 -0.04347528416659974 296.67732938407624 0.6805280102694532 -4.996847070519291 0.005849447876515801 0.9505602353055694 -0.019385963530079903 0.6769354915348275 295.02690746163574 -1.865749720847898 -0.04295087562138676 -0.019385899046578597 1.0901229092400817 -4.970483103908727 -1.8657461851139332 308.4579400999576 -0.00021350250898301867 4.608377674708255e-05 -0.000338358838709198 0.9728506412357553 0.007678737275975706 -0.05637945725304004 4.490011536490195e-05 -0.00032712530978143905 -0.0001254474157187885 0.007607232734122346 0.9503462619617051 -0.017941133572563595 -0.00032967246703522574 -0.0001254462078043895 0.0005759301424107411 -0.055854685295071385 -0.017941054476146207 1.079489362695378,0.9475567479700927 -0.0015373381061026066 0.0003359114857096276 294.7308954331578 -0.043136930199815564 0.0037836751605417928 -0.0016056224157330746 1.0936323905468353 -0.04363190761873937 -0.046572895461953416 308.8024749136555 -5.053868019894925 0.0003621947340285229 -0.04417001842274001 0.9615432034631766 0.005106047627780396 -5.080941983324816 296.6318106819415 -0.00034686841327402987 -2.5812039086359627e-06 -3.1262403397029627e-07 0.9474560968621297 0.0006619772269092516 -0.00041111525517424473 -3.7128441308881166e-06 0.0005991981168324276 -0.0003352103247302639 0.0005935505295311669 1.0828586358732322 -0.05683466292221367 1.2289826473128862e-07 -0.0003441280410792654 -0.00021638922587653893 -0.000384783594689422 -0.057373841812736 0.9724227332119499,1.0195237369585652 -0.02996422626992405 0.07296340396536642 302.5351941312769 -3.368639084148821 7.144350995315474 -0.030036371095223748 0.9603571812423948 -0.030317140874592058 -3.372267186565992 296.221026077894 -3.0783468620526215 0.07250452161351868 -0.030052188556486288 1.0228219971474761 7.121273089821006 -3.065021967132743 301.4070900988325 0.00017840488925986465 -0.00022661484414776808 0.000482015513072737 1.0318225318509429 -0.037598264845316594 0.06971514505400642 -0.00022781000764435425 -0.0002462948313229225 -0.00020769270992840002 -0.037670490291485385 0.9646175288242306 -0.03103890779745366 0.0004744128199666739 -0.00020330308423015134 0.00010343154269749967 0.06925567441970919 -0.030773619550134503 1.0062653695581243,0.961684897470404 0.02276380129337329 0.038367402207903495 296.03816002845207 1.9780158406714472 3.8012301225100296 0.022692030844265916 0.9853312310126966 0.06241600397184656 1.9744108901698167 297.8587536626177 5.859455559449411 0.03854758397426022 0.06291092577983887 1.0556774171462386 3.81027933761254 5.884312945099136 306.2656631928671 -0.0002589818882493433 0.00013402081368607075 0.0002539529379306518 0.9595011368851011 0.017036185181764626 0.037436349018613646 0.0001328331035941443 -0.00013463848060395338 0.0003893105820685086 0.016964496320039026 0.9729521887951259 0.05407254135194443 0.0002569344394118688 0.0003975003391994512 0.0004290081939144081 0.037616289271960604 0.05456683175094094 1.0702375522412666
0.9488704609175205 0.009094086858870271 -0.06677294015117209 354.9149197865165 1.2639588114478653 -9.28044588673251 0.00891742779680957 0.9290450178202748 -0.02757887360729797 1.25328999705056 351.4159771530034 -3.1470374773906737 -0.06547651669650884 -0.02757869419751005 1.1275842178979563 -9.202146531292566 -3.1470255091734183 374.06953211825726 -0.00022185032674797416 5.9937205214993665e-05 -0.00044005151764073513 0.9689957747819898 0.011956189825199286 -0.08778120562597261 5.750453488508597e-05 -0.0003898144446031196 -0.00014744545146300019 0.011779401869911294 0.92864965991992 -0.02489839903657006 -0.000422198153622537 -0.0001474426579987369 0.0006715405978999719 -0.08648365159557705 -0.024898177468794767 1.107857547647712,0.9247490660681311 -0.0015506088851300786 0.00024174224961330532 350.91283015834847 0.03743951407964809 -0.04439144029300375 -0.001719499234945157 1.1326218541051805 -0.06654126158141586 0.027228976956734836 374.6556524147678 -9.360911122856082 0.00030674111344494763 -0.06787215828595163 0.9482274728053036 -0.040462374485574173 -9.441364789984908 354.83956252069413 -0.0004131154793728436 2.451224639707231e-06 -3.044726196090544e-06 0.924614445415413 0.00215390934410903 -0.001291073135303901 1.241306046420034e-07 0.0006991788829438058 -0.000429475014523235 0.001984608033003547 1.1125659656776514 -0.0880426216431625 -2.1492695630381628e-06 -0.00044781226707098877 -0.0002250875412882414 -0.001225934985073577 -0.08937658293477566 0.9684303255517649,1.0323066009323383 -0.04547672072641475 0.10462624397773795 365.04635295585877 -6.226098322310063 12.142767394827091 -0.04565509311452348 0.9445133820794133 -0.044098213160648284 -6.236874902109757 353.72393935115963 -5.3309087777632636 0.10349158697169447 -0.043443085856296734 1.02871675133328 12.074210260311279 -5.291325349286404 361.6329844495546 0.00024970306686159655 -0.0002915529775816018 0.0005729410089832886 1.0530459830398617 -0.058620362859827656 0.09742614671909247 -0.00029400963868644945 -0.0002808821686035169 -0.00025169666158757935 -0.058798968097185454 0.9520031151448808 -0.04436820497103835 0.0005573120947068647 -0.00024267296334415432 9.146200722054683e-05 0.09628978510117474 -0.043712101761661785 1.0004937001252912,0.9445451736773471 0.03126847675885569 0.055035716592502615 353.0643037747432 3.137670505306201 6.497153392840907 0.031091210345947775 0.9757987179373356 0.08742282323978766 3.1269758609633906 355.73712877707817 9.630297454430108 0.05548070498928387 0.08864514597241352 1.0851700644794915 6.523996427641871 9.704035158755444 371.59969089804906 -0.0003123437152792451 0.00014888440516158127 0.0003012620954511252 0.9407380839438859 0.02154867363236671 0.052759467064852454 0.0001464458881883736 -0.00018400328044351584 0.000442375564278788 0.021371639948941545 0.9554627451201152 0.07157747011725014 0.00030738268908599126 0.0004591885905736722 0.0005563251294294872 0.05320376173503468 0.07279798912657522 1.1093068791509326
0.9356747412102084 0.01314301317922877 -0.09649876326673665 413.0472334129513 2.1384160534412513 -15.700425484767292 0.012764081048487724 0.9038132087851523 -0.03705373841423555 2.111671266185494 406.38873591508997 -4.866968884803503 -0.09371780765718235 -0.037053313052219414 1.1705530925758187 -15.504129138065887 -4.866935520741997 441.4210048958731 -0.00021546312501104573 7.527214481120027e-05 -0.0005526062399817478 0.9696666583808078 0.01738955242380485 -0.1276646808040859 7.08128727060278e-05 -0.00045096876032973336 -0.00016815961508863308 0.017010289702810606 0.9031478896086043 -0.032526038000924185 -0.0005198776160182509 -0.00016815394980626905 0.0007594167943764617 -0.12488080221066336 -0.03252551090927282 1.1372336861323866,0.898018679161898 -0.0012054155722568385 -5.774266593651914e-05 405.606485459029 0.2323881131606608 -0.1649688023210936 -0.0015678541888677403 1.1773747455048218 -0.0952744380201055 0.20677664888614933 442.33297724428235 -15.777764887616051 8.172611920673878e-05 -0.09813041766286261 0.9348302490646256 -0.1551148585614588 -15.979560670946135 412.93417840534323 -0.00047757379617896603 9.372013378973466e-06 -7.190001585657e-06 0.8978672666933288 0.004497414510056837 -0.002863310934730232 5.104170440180969e-06 0.0007912044424958079 -0.0005290120607160801 0.004133976317955215 1.1434024961002256 -0.12717712197160597 -5.5480201455804986e-06 -0.0005626398807960683 -0.000218919757896401 -0.0027235034364707774 -0.13004050900695302 0.9689795627594319,1.0497277870059338 -0.06507859156271384 0.14165642645641946 429.0493136125486 -10.525811759654044 18.88816132092102 -0.06546124213902438 0.9267686318954441 -0.06052063060205533 -10.552830886377027 410.4497808584275 -8.436695095908298 0.13922211399689483 -0.059115121678140425 1.0336124529220763 18.71625551653432 -8.337441278255069 421.36404315535174 0.0003329768851145984 -0.0003628864344942485 0.0006608748119935788 1.0816946225001767 -0.08577611857355753 0.12776540825094343 -0.00036739005411529465 -0.0003096076244176891 -0.00029569684407017657 -0.08615933160324869 0.9388084519214052 -0.05940110853974472 0.0006322207528929706 -0.00027915290986830745 7.024367530169469e-05 0.12532696599536727 -0.0579932291571256 0.9896182701176525,0.9242061484729827 0.04056270527286507 0.07446388661244789 408.8498914923027 4.552133329506191 10.167035767013015 0.04018278886716751 0.9631548878226136 0.11525872946484435 4.525350779659044 412.40805629002665 14.426388759921004 0.07541748201142257 0.11787820649649446 1.122700387662728 10.23425068309124 14.611034923847747 439.5999074227013 -0.00036558107969544905 0.00016038714023027995 0.00034582331987017596 0.9181352842388065 0.025478469978456406 0.06981303172700287 0.00015592149504868537 -0.00023816727745907903 0.00048332807509584555 0.025099113882903968 0.9326739429492863 0.08795948901539906 0.00035703042795908336 0.0005141148168544133 0.0006968304554558901 0.07076494764567468 0.09057462393001495 1.1592394701444078
0.9233293758302338 0.018156005227195755 -0.13330015076223142 471.4052467828939 3.374722421957991 -24.776390203929356 0.017423666329086245 0.8749645459698475 -0.04772990200243636 3.3155213710939084 459.71918350839735 -7.05907837596511 -0.12792529178580006 -0.047729005044868406 1.2185469436529306 -24.34184537213889 -7.05899758766745 510.52689615080567 -0.0001933636225176222 9.206968644743938e-05 -0.0006758807877143971 0.9768569520240968 0.024022369861409456 -0.17634690364153496 8.455558141387533e-05 -0.0005103347245214091 -0.00018746761750372152 0.023289290475313935 0.8739204637424153 -0.0405995067136307 -0.0006207277926260596 -0.0001874571921484164 0.0008389287032520799 -0.1709654433573386 -0.040598394472652025 1.1660773756844163,0.8674820746271827 -0.00038761341562144 -0.0006531433871141766 458.5814392455113 0.5966833233945078 -0.40673155677190065 -0.001088365937173781 1.2273935796308877 -0.13008737107115845 0.5399596745076723 511.8545228826334 -24.779229468084747 -0.00038352531889299156 -0.13560893258633253 0.9222744354762528 -0.38491047004662887 -25.226133923802266 471.2480832782034 -0.0005399397228097788 1.821001476041986e-05 -1.2938164399549125e-05 0.8673485240030756 0.007817267079540906 -0.005373524702853088 1.1015494904249137e-05 0.0008745899961633303 -0.0006317798149138144 0.007114369503967763 1.1737690206322815 -0.17415180281057555 -1.0170635855656755e-05 -0.0006884635173933346 -0.00019689782029090966 -0.0051031783351041145 -0.1796891570864415 0.9760804251796682,1.0724967878043954 -0.08914486198977581 0.18386613744539512 495.0140198661622 -16.653387071924705 27.50414068818118 -0.08988443987274482 0.9074832530155247 -0.07957751842234193 -16.713202006828368 466.3804380269635 -12.482715059563676 0.17916078112579276 -0.0768607854161073 1.0369742185576118 27.123537738939596 -12.262966320454069 480.2688070879264 0.00042789009576317956 -0.00044030326687243747 0.0007455574059257905 1.118552861451095 -0.1196359729124539 0.15957678064892206 -0.00044789225824818887 -0.00033219771257046406 -0.0003394828950858635 -0.12037674118584862 0.9255881105130517 -0.07561367412864281 0.0006972684939586967 -0.00031160256510060933 4.043637890241189e-05 0.1548626576055779 -0.07289189569187025 0.9728361238214217,0.9006831139551388 0.0504534564496181 0.09646420873023429 463.16233793998356 6.178024144438537 14.897797331373384 0.04971980632688663 0.9471437894507142 0.1451455254479088 6.118797065483693 467.5507947588317 20.126955979510278 0.09830547847047902 0.15020356603078128 1.1690392493436952 15.04641843532476 20.53525066916194 510.93878269897846 -0.00041843547043523855 0.00016881604294061736 0.0003868701909832705 0.8916248074781813 0.02855890519812698 0.0880180219929662 0.00016129809901248922 -0.00029607664913245644 0.000510453340529972 0.02782644195361777 0.9045369086338655 0.1014143761017147 0.00040573485798234325 0.0005622782258378163 0.0008498029162996815 0.089855715775653 0.10646322720576766 1.2206811579441188
0.9127998963461734 0.024220265240597477 -0.17781613434355337 530.4412802107788 5.045332888948751 -37.039752508466975 0.022913652265551768 0.8426137097601958 -0.05951908899446281 4.9262001595434795 511.18654613700323 -9.743183784697143 -0.16822599343293615 -0.05951736043744786 1.2710430808945967 -36.1652330098337 -9.743008119570927 581.3080193271074 -0.00015483771469345007 0.00011031119339347164 -0.0008097353817897407 0.9926085905082197 0.03186536945488781 -0.2339034614258343 9.844327535834395e-05 -0.0005676680022620293 -0.00020523758645885748 0.030557263103517387 0.8410621215464319 -0.04888690382017667 -0.0007226198717947721 -0.00020521979176083558 0.0009093681473996325 -0.22429989085821653 -0.04888476361131159 1.1928105148841783,0.833273621154136 0.0010187892918078858 -0.001645687743145901 509.61595220228884 1.1919379647004018 -0.8338897356510582 -0.00023191766599974913 1.2821374520488422 -0.1711087829711429 1.077733733484758 583.1429825890789 -36.82395930782165 -0.0011645355724804166 -0.18096309180040304 0.911534205498875 -0.7899625199469746 -37.72366526960313 530.2359788867673 -0.0005999211498584794 2.8997615148436425e-05 -2.0453022708373927e-05 0.8332134825387163 0.012209547522608877 -0.009089184436280382 1.763053694992776e-05 0.0009485714201203873 -0.0007355853491675244 0.010954657705833818 1.2020247490751457 -0.22851231482509243 -1.6081111139293146e-05 -0.0008251358540715036 -0.00015830453946199228 -0.008606606563370854 -0.23839721380246018 0.9917893808120695,1.101296571681694 -0.11802783823133761 0.23105500541516477 563.4517831220707 -25.02558655004163 38.04170354211982 -0.11934740407172639 0.8870314877762489 -0.10125134948344436 -25.145962389590217 521.5305312174063 -17.521632950832863 0.22265900261959015 -0.0964037699335142 1.038305064566667 37.27568002428729 -17.079355152465425 537.9747428686816 0.0005338933261216114 -0.0005233578640719515 0.0008268271562264915 1.1642104355416625 -0.16066435334986182 0.19160186314699337 -0.0005353435859870902 -0.0003484628543985813 -0.0003829090736470188 -0.16198619216766133 0.9128761333348268 -0.09238776438865054 0.0007505552401192089 -0.00033887246518094275 2.6404823676311307e-06 0.18318906685142622 -0.08753049267885053 0.9495847398228697,0.8740064288194825 0.060764767219023935 0.12080209705798159 515.7659928301757 7.958551759357656 20.738919675249704 0.059456815724370886 0.9275701896074838 0.17620245290776834 7.839477144904327 520.8495891944491 26.498950405290856 0.12408434627569451 0.18521924042846188 1.224906957819823 21.037681510366905 27.319752515419275 586.3194666391178 -0.00047066366202309755 0.00017445147973090905 0.00042360797866760816 0.8611729855650893 0.030610823167130683 0.10670703020282502 0.00016258758336372073 -0.00035676443668285435 0.0005220523258887432 0.029305146230263045 0.8712670895637459 0.11000972899270774 0.00045337378288380235 0.0006038285319120768 0.001014277182106769 0.10998239090290794 0.11900893101477543 1.2940044085600293
