x_chief,y_chief,z_chief,vx_chief,vy_chief,vz_chief,x_deputy1,y_deputy1,z_deputy1,vx_deputy1,vy_deputy1,vz_deputy1,x_deputy2,y_deputy2,z_deputy2,vx_deputy2,vy_deputy2,vz_deputy2,x_deputy3,y_deputy3,z_deputy3,vx_deputy3,vy_deputy3,vz_deputy3
-1295.5845077901831,-929.3740906104719,6793.4116813825085,-7.426511598830584,0.19019777107811087,-1.39029638610234,-171.90532078632964,6857.222886707187,-1281.6490666581126,1.00700996311517,-1.399928822038102,-7.358476293144188,-4251.965594114758,1619.9636047943025,-5291.008175325754,-4.6781608859236155,3.463545219322457,4.820200886968332,-2214.9046064858007,-3967.018695794121,-5296.066519714546,1.3614551633615843,5.665861544740857,-4.8133376083379025
-1738.1420397633888,-916.0182705638061,6695.745512912068,-7.320239166488161,0.2548421879578725,-1.8641129889847947,-111.1639204180096,6758.79048113959,-1720.1288244583136,1.016991703113883,-1.8800820959260613,-7.252331884448854,-4523.50587637656,1824.2196597445122,-4990.829501926538,-4.369983394390553,3.3425919541624594,5.182259765037785,-2128.611652448725,-3618.953965627929,-5573.483492449958,1.5139565528932681,5.932206467768985,-4.4306687875057715
-2173.3975030615015,-898.8142182159917,6569.8735536850045,-7.183192334106772,0.31842740747503323,-2.3301603300855724,-49.95223609677187,6631.761993453788,-2151.310717973511,1.0226789877214069,-2.3527896374986272,-7.11528994430603,-4775.992617541021,2020.7918574372295,-4669.571909274472,-4.04326360214335,3.2075047241726224,5.522580651899917,-2033.3585895663816,-3255.6556680226845,-5827.375945450805,1.6600216762259914,6.173472685703378,-4.029465199079576
-2599.5206608638687,-877.8335042322094,6416.32089644027,-7.015933238154869,0.3806869019987789,-2.786479484240468,11.470971141742142,6476.645464694955,-2573.355904975054,1.0240384721724995,-2.816013119300131,-6.947873432042255,-5008.353838182298,2208.8486286928196,-4328.583950460669,-3.699366734110087,3.0588425546276934,5.839703061805495,-1929.5499881150483,-2878.6588454178795,-6056.6826117534865,1.7990423720132354,6.388667844648325,-3.6114324483071916
-3014.7188087973477,-853.1635421677253,6235.729074122993,-6.819150494864434,0.44135928196647056,-3.2311493572692673,72.84550242983728,6294.070255344548,-2984.460979098898,1.021055610047716,-3.267748486288743,-6.750740255251947,-5219.60180780401,2387.5937383498986,-3969.2989831357672,-3.339734939865182,2.8972238670090373,6.1322618051472215,-1817.6259884415285,-2489.554751566285,-6260.446579771017,1.9304415010399267,6.576911095215754,-3.1783421695907856
-3417.2442997918342,-824.907247963384,6028.853552470546,-6.593656989874263,0.5001893691651448,-3.6622945988288005,133.91085454398262,6084.784702452965,-3382.8660001600247,1.0137348223070153,-3.70603548128985,-6.524680927458095,-5408.837489347334,2556.2697820887856,-3593.229249024804,-2.9658815159876957,2.723324193367862,6.398993690674632,-1698.0603749919246,-2089.984074953551,-6437.819024982971,2.053675072721885,6.737435886840646,-2.732024345057153
-3805.401921823519,-793.1826352060058,5796.560749066234,-6.340387181454744,0.5569292640880023,-4.078093470019575,194.40736048524053,5849.653210496903,-3766.862361976262,1.0020995649466249,-4.128966983923758,-6.270615497575518,-5575.254623017906,2714.1615363724254,-3201.959561831913,-2.5793846635442135,2.537873565721907,6.638743866598011,-1571.3585278080973,-1681.630009214648,-6588.06247878612,2.1682342036500613,6.869592277507216,-2.2743595635574003
-4177.556098752378,-758.1223466133213,5539.824582348323,-6.060393897123433,0.6113394037543973,-4.476785638954407,254.07733107259213,5589.652789176801,-4134.800454717031,0.9861922951913269,-4.534698096264314,-5.989589776074103,-5718.143422078036,2860.599142023552,-2797.140627075409,-2.181880800010315,2.341653581805753,6.850471738021983,-1438.055261440518,-1266.2111989010366,-6710.553631861923,2.2736469126889736,6.9728487830911074,-1.807271249972644
-4532.137883279197,-719.8731224452499,5259.722555855939,-5.754844604707298,0.6631896055304332,-4.856679871275186,312.6661914884252,5305.869055233064,-4485.097080514423,0.9660743373176647,-4.9214549133859835,-5.682770890176239,-5836.893854653383,2994.961102176609,-2380.482021148368,-1.7750574530842385,2.1354941532311664,7.033256398389835,-1298.7125609208372,-845.4745874857933,-6804.785671006321,2.369479758211452,7.046793790773785,-1.332717887958239
-4867.651709984136,-678.5952068365207,4957.431385159823,-5.42501714159146,0.7122600916453047,-5.216161576453172,369.9236068145671,4999.491718896543,-4816.242583210388,0.9418256502988988,-5.287542922906033,-5.351442206768167,-5930.998487494017,3116.67707585458,-1953.7448605905222,-1.3606457719338159,1.920269947079764,7.186301514508983,-1153.9172240836485,-421.18819305226697,-6870.370149560824,2.455339323593787,7.0911365599173415,-0.8526852528631286
-5182.681875549215,-634.4616933880122,4634.222177451748,-5.072294889990771,0.7583424883069885,-5.553700164929543,425.60459075858444,4671.809578743081,-5126.807655593655,0.9135445004360033,-5.631354984382858,-4.996997666786627,-6000.054869997427,3225.230449233366,-1518.7341960850572,-0.9404126991805821,1.6968965369886548,7.308939608267754,-1004.2784191563843,4.866164229228685,-6907.038392411224,2.5308735571134484,7.105707831528725,-0.3691786657861823
-5475.898712693668,-587.6578117415739,4291.455176620542,-4.698161391502717,0.801240792619336,-5.867856166036094,479.47059198543155,4324.205051453652,-5415.449790223832,0.8813470429618544,-5.951378846713709,-4.620935578540489,-6043.767439618063,3320.1606677693553,-1077.2911689610194,-0.5161528540988645,1.4663262847387653,7.400635683285516,-850.4251661796834,430.900159906228,-6914.642437025621,2.5957729719143137,7.090460064166893,0.11578472518077632
-5746.064424139211,-538.3801572889311,3930.5740897771084,-4.304194400802912,0.8407722999274714,-6.157288052447697,531.2905527291647,3958.1482652681475,-5680.91934286257,0.8453668172558815,-6.246204169185501,-4.22485191968332,-6061.948933011605,3401.065313768988,-631.2849708963067,-0.08968018384643824,1.2295439780547721,7.4609901513459524,-693.0037505063137,855.1262663522933,-6893.155512245337,2.6497717107808803,7.0454673100694665,0.6001836343229374
-5992.038543137228,-486.8358666210353,3553.1000145429493,-3.8920593859306765,0.876768483801385,-6.420758713890822,580.84193465253,3575.190747757539,-5922.065180546382,0.8057541607696644,-6.514529019262079,-3.810433198374153,-6054.521290835416,3467.6019156529533,-182.60464999382162,0.33718055517202855,0.9875622546217809,7.489741021377235,-532.6750763796084,1275.7650358901546,-6842.672056588819,2.6926484791606162,6.970924740642528,1.0820002987206532
-6212.782987783516,-433.24174179959374,3160.6249899106438,-3.4635024909412087,0.9090758206345032,-6.657141521154711,627.9117072373488,3176.958739940129,-6137.839889358207,0.7626755470349549,-6.755165827237439,-3.3794489236245138,-6021.516047980708,3519.4894770835663,266.8491916277247,0.7626024196607568,0.7414168460767716,7.486765322746021,-370.11196843273194,1691.0523450430865,-6763.4072777560805,2.7242273482749764,6.867147825533731,1.5592281114763575
-6407.366677555151,-377.8233270158642,2754.8051970353768,-3.0203429854983743,0.9375565508035895,-6.865425921260825,672.2972943143153,2765.146169764421,-6327.30451990763,0.7163128532085589,-6.967046784265653,-2.933743733070627,-5963.074205068019,3556.5097162455804,715.1727621844938,1.1847649366928017,0.4921616788202044,7.452079744468552,-205.9964288929204,2099.2465791322147,-6655.696254909556,2.7443784283589774,6.734571164569085,2.029879229488197
