x_chief,y_chief,z_chief,x_deputy1,y_deputy1,z_deputy1,x_deputy2,y_deputy2,z_deputy2,x_deputy3,y_deputy3,z_deputy3
6.895600000000000364e+03,0.000000000000000000e+00,0.000000000000000000e+00,6.895600000000000364e+03,3.000000000000000415e-05,1.000000000000000082e-05,6.895600000000000364e+03,1.000000000000000082e-05,3.000000000000000076e-06,6.895600000000000364e+03,-2.000000000000000164e-05,3.999999999999999819e-06
6.880495422752182094e+03,-5.945494099102586461e+01,4.522125344610430489e+02,6.880405292462849502e+03,-5.948488829739882533e+01,4.522245291834410068e+02,6.880795858870465963e+03,-5.933502148649743191e+01,4.522005678562514959e+02,6.880822902312592305e+03,-5.971277561288118108e+01,4.522065665428846160e+02
6.835248719253605486e+03,-1.186494234712657629e+02,9.024385344180383299e+02,6.835067690889560254e+03,-1.187092051761181466e+02,9.024623716942538749e+02,6.835852176123926256e+03,-1.184101590342428523e+02,9.024149511491528983e+02,6.835906554014221001e+03,-1.191639868882134863e+02,9.024269531693872750e+02
6.760060621320762039e+03,-1.773241739040928167e+02,1.348700525755298486e+03,6.759787208416955764e+03,-1.774134869276049926e+02,1.348735786127221900e+03,6.760972143547989617e+03,-1.769667513013254450e+02,1.348666491279865568e+03,6.761054516501659236e+03,-1.780933681571459886e+02,1.348684569147515504e+03
6.655264588136189559e+03,-2.352222811289100832e+02,1.789039098439856389e+03,6.654896659430521140e+03,-2.353406453525261099e+02,1.789084947736344702e+03,6.656491474442652361e+03,-2.347485667823671918e+02,1.788997066637261014e+03,6.656602946974249789e+03,-2.362430797354452920e+02,1.789021441706559472e+03
6.521325175186100751e+03,-2.920903602712632505e+02,2.221521806339864725e+03,6.520860049035005432e+03,-2.922371040372874518e+02,2.221576872091759924e+03,6.522876700420391899e+03,-2.915029504757505947e+02,2.221475957659502455e+03,6.523018879954994190e+03,-2.933588938843066103e+02,2.221507096895301402e+03
6.358835769791327039e+03,-3.476796961900631118e+02,2.644251910437507831e+03,6.358270326753843619e+03,-3.478539445190428410e+02,2.644314174893150266e+03,6.360722841300960681e+03,-3.469819588415951443e+02,2.644208542422344635e+03,6.360897879298548105e+03,-3.491913385981113152e+02,2.644247267483734049e+03
6.168515711735532022e+03,-4.017473600811719052e+02,3.055376916594590057e+03,6.167846522597586045e+03,-4.019480259059540685e+02,3.055443628719486696e+03,6.170750467929930892e+03,-4.009434668203933825e+02,3.055344777970599807e+03,6.170961080920148561e+03,-4.034968129011220412e+02,3.055392383756379331e+03
5.951206822068867041e+03,-4.540572932165200655e+02,3.453096861776200058e+03,5.950430288278193075e+03,-4.542830718735447135e+02,3.453164470196198636e+03,5.953802182145087500e+03,-4.531522410638439737e+02,3.453087422528565185e+03,5.954051650924699061e+03,-4.560386677276793534e+02,3.453145802029618608e+03
5.707869367240003157e+03,-5.043813522268430347e+02,3.835672305912004958e+03,5.706981870488833010e+03,-5.046307193825030595e+02,3.835736414299701210e+03,5.710838541988053294e+03,-5.033809739758003161e+02,3.835699957139924663e+03,5.711130687727397344e+03,-5.065882469189873518e+02,3.835771729211127422e+03
