dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.546643519170502468e-01,1.578457024388104368e-01,1.572836841585026346e-01,1.496921368158399546e-01
1.719311904675212624e-04,1.795646381230501243e-01,1.929164254505497944e-01,1.780988994161413208e-01
1.898750666523886532e-04,8.444688561963592521e-02,1.481222092984641192e-01,1.572544942763563491e-01
1.591047403108898747e-04,7.615964578160552834e-02,1.405185171186603965e-01,1.502446205731881035e-01
1.589690340740128056e-04,7.051858267132898872e-02,1.373799666136721331e-01,1.478435531307926432e-01
1.590769064163452941e-04,6.586553247356770335e-02,1.351183697556551933e-01,1.450179885272515068e-01
1.556238976534631685e-04,6.184866797460311649e-02,1.328117674514439905e-01,1.420125071270347261e-01
1.686440494288928026e-04,5.832623046466348798e-02,1.303361981435724459e-01,1.387919714598808141e-01
1.545304071949055603e-04,5.503499159895792331e-02,1.273314465757392766e-01,1.353016162395461741e-01
1.621651174973503672e-04,5.187575711351954943e-02,1.237644087087527434e-01,1.307324262594559139e-01
1.513759481451471185e-04,4.872439072263905213e-02,1.193393530256031121e-01,1.257172629223076987e-01
1.580965025170038511e-04,4.587762058366198076e-02,1.136353314068696829e-01,1.198970636022562708e-01
1.482866611656821223e-04,4.334883412080623583e-02,1.077220483482808772e-01,1.127243701876125687e-01
1.603595020138770294e-04,4.024901873774190675e-02,1.005052877036306941e-01,1.056040905533065233e-01
1.531867768253697708e-04,3.687671580863973592e-02,9.274957166605451997e-02,9.820552859640324650e-02
1.491258866858945816e-04,3.451740056182199534e-02,8.529278273878830585e-02,9.023549753602928825e-02
1.593948330359375523e-04,3.284719808604362468e-02,7.715528414700911775e-02,8.227781838021536176e-02
1.634894976743000517e-04,3.103303448947089191e-02,7.035991333809789305e-02,7.481983848161366524e-02
1.520730283741478857e-04,2.926807108873832886e-02,6.377694712109695241e-02,6.836301307200957911e-02
1.458260504107048491e-04,2.751008030102472524e-02,5.774056572789239977e-02,6.249087382317276840e-02
1.491981371277869531e-04,2.582736309612517975e-02,5.295241471570161229e-02,5.730505585281316788e-02
1.598379424416665852e-04,2.429673849537604055e-02,4.840835899531285846e-02,5.261632534087787999e-02
1.684720847087016915e-04,2.267978144840661348e-02,4.435873219081470920e-02,4.816784876785001890e-02
1.671212401732165211e-04,2.172124612060535864e-02,4.059879576271720886e-02,4.505427636322820867e-02
1.494626498956730843e-04,2.055270980987427415e-02,3.701853088124320429e-02,4.169014790838269230e-02
1.476630208663883687e-04,1.957035543936165231e-02,3.518351286232245662e-02,3.881188871738776303e-02
1.500969696814704354e-04,1.824302509991010054e-02,3.255237655106404254e-02,3.708276156639381954e-02
1.568489742763753286e-04,1.708854091323798452e-02,3.134060162383232179e-02,3.504484760344028088e-02
1.616903807079408722e-04,1.555936720081293675e-02,2.952086851591122912e-02,3.417484758962169300e-02
