dev_chief,dev_deputy1,dev_deputy2,dev_deputy3
1.562957401468622887e-01,1.571393607811824022e-01,1.667110643007727322e-01,1.591741682949156522e-01
1.566536179135826661e-04,1.625500071897486576e-01,2.248701788385070455e-01,1.994558473693657796e-01
1.726220398975930029e-04,1.010073889921110774e-01,1.712965733871636420e-01,1.807006671057888869e-01
1.711049761545191622e-04,7.712446995240831993e-02,1.556472004039093915e-01,1.569512333839452045e-01
1.533868369810952286e-04,6.771494538773564775e-02,1.534479849772268367e-01,1.534508775869399821e-01
1.577637378212755391e-04,6.138882623075762185e-02,1.529455795285295239e-01,1.511761863041407028e-01
1.691592712316350769e-04,5.858514303803162571e-02,1.525478945668548303e-01,1.490011893644542507e-01
1.577010140820962747e-04,5.682542327044393798e-02,1.519728414378322956e-01,1.465926650779951768e-01
1.598066508187889648e-04,5.722569210791166733e-02,1.504877946869286331e-01,1.434406939906927858e-01
1.503699319954213728e-04,5.816759444112693661e-02,1.483254712349938720e-01,1.396898092677481273e-01
1.592961716955511016e-04,5.980397965473046445e-02,1.444945273055208423e-01,1.350945718740438894e-01
1.641958619720175082e-04,6.144131804056351259e-02,1.395986596345191177e-01,1.297648428047953884e-01
1.539724167235758897e-04,6.271703254060040367e-02,1.331251399260108270e-01,1.225614008183977810e-01
1.621485526026662696e-04,6.305237808452104908e-02,1.249579254462275385e-01,1.152803616564274242e-01
1.607371266990680286e-04,6.429109425626779173e-02,1.168031176568890966e-01,1.071516297934749368e-01
1.513563632803465657e-04,6.425705847847697216e-02,1.086313499037435543e-01,9.877783573856126209e-02
1.552174717661677179e-04,6.398805914492544655e-02,9.963027687036310476e-02,9.030047950796131484e-02
1.489175284044791186e-04,6.329934107086909734e-02,9.157813530660399715e-02,8.185574170734545574e-02
1.540104238026420390e-04,6.277684172830488851e-02,8.453916542608043427e-02,7.451112729184346251e-02
1.515224028104682121e-04,6.165417436737866130e-02,7.746904328709748599e-02,6.779006146272918698e-02
1.512191171183767272e-04,6.080988629633609505e-02,7.072227756544145760e-02,6.102477768822336945e-02
1.594583383500384338e-04,6.131268887933637862e-02,6.549520571085853948e-02,5.585139921297801319e-02
1.482107839701646572e-04,6.190805059474626532e-02,6.011489278785703966e-02,5.044726154504691751e-02
1.491382039454550276e-04,6.241802682547144959e-02,5.693737237254620220e-02,4.693363095304078220e-02
1.540399649417166386e-04,6.401472900568754010e-02,5.268829748895460796e-02,4.317886667507419424e-02
1.578901639168112439e-04,6.639981432945218920e-02,5.050975185858733174e-02,4.168569467415667723e-02
1.557430716647348183e-04,6.917905459464880613e-02,4.814012173922838089e-02,3.986347595112761655e-02
1.625411592408887733e-04,6.995662695804838460e-02,4.760588227313653636e-02,3.837053692218186235e-02
1.565831020556669381e-04,7.209066503540059734e-02,4.678864411426899433e-02,3.820489366478575094e-02
1.554251374719712491e-04,7.478210825749501134e-02,4.800471360303291968e-02,3.823119590174120508e-02
1.582429046451878148e-04,7.843581248278082285e-02,4.799850062918128990e-02,3.938622215913692437e-02
1.531068452008613060e-04,8.105867388460019640e-02,4.844743190684707573e-02,4.054820132947783984e-02
1.640030816360203399e-04,8.393719308860170258e-02,4.926075793788424473e-02,4.220275618592156386e-02
1.647388014838381130e-04,8.738107304043411794e-02,5.044872891331014797e-02,4.280995011408106343e-02
1.629030914803050159e-04,9.041928695324349952e-02,5.140798328288982005e-02,4.532200189369350180e-02
1.574698611103241659e-04,9.276340085204949626e-02,5.183947136370806175e-02,4.711481063177654083e-02
1.662333971577717906e-04,9.654925236237010822e-02,5.320527061864017276e-02,4.809039734398087851e-02
1.521239858970593244e-04,9.901298586237927690e-02,5.338541759747487264e-02,5.029830654797591560e-02
1.653563176196511412e-04,1.014657929007215242e-01,5.420424278575323995e-02,5.187784682698508981e-02
1.570073967025509320e-04,1.026799824475739531e-01,5.423650050964035768e-02,5.381375334748797479e-02
1.428718639607376223e-04,1.032166532846612306e-01,5.477250786574731911e-02,5.507619816233716437e-02
1.602405474346297698e-04,1.029551969195761502e-01,5.513388449365556887e-02,5.658171040793665701e-02
1.642279224101810041e-04,1.023035507090807733e-01,5.460886404297681657e-02,5.853428062979084551e-02
1.680847757915289030e-04,1.007127921446231977e-01,5.537157660343591109e-02,6.035759553568863234e-02
1.722749268761395716e-04,9.601982419839485972e-02,5.523044354284140089e-02,6.216220356423762111e-02
1.683672013869714395e-04,9.175474045505149778e-02,5.448843056513959227e-02,6.392693635790164253e-02
1.717657563236467161e-04,8.592163404434717544e-02,5.246785891486015901e-02,6.614014480993919698e-02
1.575883882837276085e-04,7.919103926366916069e-02,4.946658007094205389e-02,6.767300310246067430e-02
